Year,Statistic,Player,Team,Value
1975,Complete Games,Catfish Hunter,New York,30.0
1975,ERA,Jim Palmer,Baltimore,2.09
1975,Games,Rollie Fingers,Oakland,75.0
1975,Saves,Rich Gossage,Chicago,26.0
1975,Shutouts,Jim Palmer,Baltimore,10.0
1975,Strikeouts,Frank Tanana,California,269.0
1975,Winning Percentage,Mike Torrez,Baltimore,0.69
1975,Wins,Catfish Hunter,New York,23.0
1975,Wins,Jim Palmer,Baltimore,23.0
1976,Complete Games,Mark Fidrych,Detroit,24.0
1976,ERA,Mark Fidrych,Detroit,2.34
1976,Games,Bill Campbell,Minnesota,78.0
1976,Saves,Sparky Lyle,New York,23.0
1976,Shutouts,Nolan Ryan,California,7.0
1976,Strikeouts,Nolan Ryan,California,327.0
1976,Winning Percentage,Bill Campbell,Minnesota,0.773
1976,Wins,Jim Palmer,Baltimore,22.0
1977,Complete Games,Jim Palmer,Baltimore,22.0
1977,Complete Games,Nolan Ryan,California,22.0
1977,ERA,Frank Tanana,California,2.54
1977,Games,Sparky Lyle,New York,72.0
1977,Saves,Bill Campbell,Boston,31.0
1977,Shutouts,Frank Tanana,California,7.0
1977,Strikeouts,Nolan Ryan,California,341.0
1977,Winning Percentage,Paul Splittorff,Kansas City,0.727
1977,Wins,Dave Goltz,Minnesota,20.0
1977,Wins,Dennis Leonard,Kansas City,20.0
1977,Wins,Jim Palmer,Baltimore,20.0
1978,Complete Games,Mike Caldwell,Milwaukee,23.0
1978,ERA,Ron Guidry,New York,1.74
1978,Games,Bob Lacey,Oakland,74.0
1978,Saves,Rich Gossage,New York,27.0
1978,Shutouts,Ron Guidry,New York,9.0
1978,Strikeouts,Nolan Ryan,California,260.0
1978,Winning Percentage,Ron Guidry,New York,0.893
1978,Wins,Ron Guidry,New York,25.0
1979,Complete Games,Dennis Martinez,Baltimore,18.0
1979,ERA,Ron Guidry,New York,2.78
1979,Games,Mike Marshall,Minnesota,90.0
1979,Saves,Mike Marshall,Minnesota,32.0
1979,Shutouts,Dennis Leonard,Kansas City,5.0
1979,Shutouts,Nolan Ryan,California,5.0
1979,Strikeouts,Nolan Ryan,California,223.0
1979,Winning Percentage,Mike Caldwell,Milwaukee,0.727
1979,Wins,Mike Flanagan,Baltimore,23.0
1980,Complete Games,Rick Langford,Oakland,28.0
1980,ERA,Rudy May,New York,2.46
1980,Games,Dan Quisenberry,Kansas City,75.0
1980,Saves,Rich Gossage,New York,33.0
1980,Saves,Dan Quisenberry,Kansas City,33.0
1980,Shutouts,Tommy John,New York,6.0
1980,Strikeouts,Len Barker,Cleveland,187.0
1980,Winning Percentage,Steve Stone,Baltimore,0.781
1980,Wins,Steve Stone,Baltimore,25.0
1981,Complete Games,Rick Langford,Oakland,18.0
1981,ERA,Steve McCatty,Oakland,2.33
1981,Games,Doug Corbett,Minnesota,54.0
1981,Saves,Rollie Fingers,Milwaukee,28.0
1981,Shutouts,Richard Dotson,Chicago,4.0
1981,Shutouts,Ken Forsch,California,4.0
1981,Shutouts,Doc Medich,Texas,4.0
1981,Shutouts,Steve McCatty,Oakland,4.0
1981,Strikeouts,Len Barker,Cleveland,127.0
1981,Winning Percentage,Pete Vuckovich,Milwaukee,0.778
1981,Wins,Dennis Martinez,Baltimore,14.0
1981,Wins,Steve McCatty,Oakland,14.0
1981,Wins,Jack Morris,Detroit,14.0
1981,Wins,Pete Vuckovich,Milwaukee,14.0
1982,Complete Games,Dave Stieb,Toronto,19.0
1982,ERA,Rick Sutcliffe,Cleveland,2.96
1982,Games,Ed Vande Berg,Seattle,78.0
1982,Saves,Dan Quisenberry,Kansas City,35.0
1982,Shutouts,Dave Stieb,Toronto,5.0
1982,Strikeouts,Floyd Bannister,Seattle,209.0
1982,Winning Percentage,Pete Vuckovich,Milwaukee,0.75
1982,Wins,La Marr Hoyt,Chicago,19.0
1983,Complete Games,Ron Guidry,New York,21.0
1983,ERA,Rick Honeycutt,Texas,2.42
1983,Games,Dan Quisenberry,Kansas City,69.0
1983,Saves,Dan Quisenberry,Kansas City,45.0
1983,Shutouts,Mike Boddicker,Baltimore,5.0
1983,Strikeouts,Jack Morris,Detroit,232.0
1983,Winning Percentage,Richard Dotson,Chicago,0.759
1983,Wins,La Marr Hoyt,Chicago,24.0
1984,Complete Games,Charlie Hough,Texas,17.0
1984,ERA,Mike Boddicker,Baltimore,2.79
1984,Games,Willie Hernandez,Detroit,80.0
1984,Saves,Dan Quisenberry,Kansas City,44.0
1984,Shutouts,Bob Ojeda,Boston,5.0
1984,Shutouts,Geoff Zahn,California,5.0
1984,Strikeouts,Mark Langston,Seattle,204.0
1984,Winning Percentage,Doyle Alexander,Toronto,0.739
1984,Wins,Mike Boddicker,Baltimore,20.0
1985,Complete Games,Bert Blyleven,Cleveland,24.0
1985,Complete Games,Bert Blyleven,Minnesota,24.0
1985,ERA,Dave Stieb,Toronto,2.48
1985,Games,Dan Quisenberry,Kansas City,84.0
1985,Saves,Dan Quisenberry,Kansas City,37.0
1985,Shutouts,Bert Blyleven,Cleveland,5.0
1985,Shutouts,Bert Blyleven,Minnesota,5.0
1985,Strikeouts,Bert Blyleven,Cleveland,206.0
1985,Strikeouts,Bert Blyleven,Minnesota,206.0
1985,Winning Percentage,Ron Guidry,New York,0.786
1985,Wins,Ron Guidry,New York,22.0
1986,Complete Games,Tom Candiotti,Cleveland,17.0
1986,ERA,Roger Clemens,Boston,2.48
1986,Games,Mitch Williams,Texas,80.0
1986,Saves,Dave Righetti,New York,46.0
1986,Shutouts,Jack Morris,Detroit,6.0
1986,Strikeouts,Mark Langston,Seattle,245.0
1986,Winning Percentage,Roger Clemens,Boston,0.857
1986,Wins,Roger Clemens,Boston,24.0
1987,Complete Games,Roger Clemens,Boston,18.0
1987,ERA,Jimmy Key,Toronto,2.76
1987,Games,Mark Eichhorn,Toronto,89.0
1987,Saves,Tom Henke,Toronto,34.0
1987,Shutouts,Roger Clemens,Boston,7.0
1987,Strikeouts,Mark Langston,Seattle,262.0
1987,Winning Percentage,Roger Clemens,Boston,0.69
1987,Wins,Roger Clemens,Boston,20.0
1987,Wins,Dave Stewart,Oakland,20.0
1988,Complete Games,Roger Clemens,Boston,14.0
1988,Complete Games,Dave Stewart,Oakland,14.0
1988,ERA,Allan Anderson,Minnesota,2.45
1988,Games,Chuck Crim,Milwaukee,70.0
1988,Saves,Dennis Eckersley,Oakland,45.0
1988,Shutouts,Roger Clemens,Boston,8.0
1988,Strikeouts,Roger Clemens,Boston,291.0
1988,Winning Percentage,Frank Viola,Minnesota,0.774
1988,Wins,Frank Viola,Minnesota,24.0
1989,Complete Games,Bret Saberhagen,Kansas City,12.0
1989,ERA,Bret Saberhagen,Kansas City,2.16
1989,Games,Chuck Crim,Milwaukee,76.0
1989,Saves,Jeff Russell,Texas,38.0
1989,Shutouts,Bert Blyleven,California,5.0
1989,Strikeouts,Nolan Ryan,Texas,301.0
1989,Winning Percentage,Bret Saberhagen,Kansas City,0.793
1989,Wins,Bret Saberhagen,Kansas City,23.0
1990,Complete Games,Jack Morris,Detroit,11.0
1990,Complete Games,Dave Stewart,Oakland,11.0
1990,ERA,Roger Clemens,Boston,1.93
1990,Games,Bobby Thigpen,Chicago,77.0
1990,Saves,Bobby Thigpen,Chicago,57.0
1990,Shutouts,Roger Clemens,Boston,4.0
1990,Shutouts,Dave Stewart,Oakland,4.0
1990,Strikeouts,Nolan Ryan,Texas,269.0
1990,Winning Percentage,Bob Welch,Oakland,0.818
1990,Wins,Bob Welch,Oakland,27.0
1991,Complete Games,Jack McDowell,Chicago,15.0
1991,ERA,Roger Clemens,Boston,2.62
1991,Games,Duane Ward,Toronto,81.0
1991,Saves,Bryan Harvey,California,46.0
1991,Shutouts,Roger Clemens,Boston,4.0
1991,Strikeouts,Roger Clemens,Boston,241.0
1991,Winning Percentage,Scott Erickson,Minnesota,0.714
1991,Wins,Scott Erickson,Minnesota,20.0
1991,Wins,Bill Gullickson,Detroit,20.0
1992,Complete Games,Jack McDowell,Chicago,13.0
1992,ERA,Roger Clemens,Boston,2.41
1992,Games,Kenny Rogers,Texas,81.0
1992,Saves,Dennis Eckersley,Oakland,51.0
1992,Shutouts,Roger Clemens,Boston,5.0
1992,Strikeouts,Randy Johnson,Seattle,241.0
1992,Winning Percentage,Mike Mussina,Baltimore,0.783
1992,Wins,Kevin Brown,Texas,21.0
1992,Wins,Jack Morris,Toronto,21.0
1993,Complete Games,Chuck Finley,California,13.0
1993,ERA,Kevin Appier,Kansas City,2.56
1993,Games,Greg Harris,Boston,80.0
1993,Saves,Jeff Montgomery,Kansas City,45.0
1993,Saves,Duane Ward,Toronto,45.0
1993,Shutouts,Jack McDowell,Chicago,4.0
1993,Strikeouts,Randy Johnson,Seattle,308.0
1993,Winning Percentage,Jimmy Key,New York,0.75
1993,Wins,Jack McDowell,Chicago,22.0
1994,Complete Games,Randy Johnson,Seattle,9.0
1994,ERA,Steve Ontiveros,Oakland,2.65
1994,Games,Bob Wickman,New York,53.0
1994,Saves,Lee Smith,Baltimore,33.0
1994,Shutouts,Randy Johnson,Seattle,4.0
1994,Strikeouts,Randy Johnson,Seattle,204.0
1994,Winning Percentage,Jason Bere,Chicago,0.857
1994,Wins,Jimmy Key,New York,17.0
1995,Complete Games,Jack McDowell,New York,8.0
1995,ERA,Randy Johnson,Seattle,2.48
1995,Games,Jesse Orosco,Baltimore,65.0
1995,Saves,Jose Mesa,Cleveland,46.0
1995,Shutouts,Mike Mussina,Baltimore,4.0
1995,Strikeouts,Randy Johnson,Seattle,294.0
1995,Winning Percentage,Randy Johnson,Seattle,0.9
1995,Wins,Mike Mussina,Baltimore,19.0
1996,Complete Games,Pat Hentgen,Toronto,10.0
1996,ERA,Juan Guzman,Toronto,2.93
1996,Games,Eddie Guardado,Minnesota,83.0
1996,Games,Mike Myers,Detroit,83.0
1996,Saves,John Wetteland,New York,43.0
1996,Shutouts,Pat Hentgen,Toronto,3.0
1996,Shutouts,Ken Hill,Texas,3.0
1996,Shutouts,Rich Robertson,Minnesota,3.0
1996,Strikeouts,Roger Clemens,Boston,257.0
1996,Winning Percentage,Charles Nagy,Cleveland,0.773
1996,Wins,Andy Pettitte,New York,21.0
1997,Complete Games,Roger Clemens,Toronto,9.0
1997,Complete Games,Pat Hentgen,Toronto,9.0
1997,ERA,Roger Clemens,Toronto,2.05
1997,Games,Mike Myers,Detroit,88.0
1997,Saves,Randy Myers,Baltimore,45.0
1997,Shutouts,Roger Clemens,Toronto,3.0
1997,Shutouts,Pat Hentgen,Toronto,3.0
1997,Strikeouts,Roger Clemens,Toronto,292.0
1997,Winning Percentage,Randy Johnson,Seattle,0.833
1997,Wins,Roger Clemens,Toronto,21.0
1998,Complete Games,Scott Erickson,Baltimore,11.0
