Year,0,1,2,3,4,5
1975,East,Boston Red Sox,95,65,.594,0
1975,East,Baltimore Orioles,90,69,.566,4½
1975,East,New York Yankees,83,77,.519,12
1975,East,Cleveland Indians,79,80,.497,15½
1975,East,Milwaukee Brewers,68,94,.420,28
1975,East,Detroit Tigers,57,102,.358,37½
1975,West,Team [Click for roster],Wins,Losses,WP,GB
1975,West,Oakland Athletics,98,64,.605,0
1975,West,Kansas City Royals,91,71,.562,7
1975,West,Texas Rangers,79,83,.488,19
1975,West,Minnesota Twins,76,83,.478,20½
1975,West,Chicago White Sox,75,86,.466,22½
1975,West,California Angels,72,89,.447,24½
1975,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1975,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1976,East,New York Yankees,97,62,.610,0
1976,East,Baltimore Orioles,88,74,.543,10½
1976,East,Boston Red Sox,83,79,.512,15½
1976,East,Cleveland Indians,81,78,.509,16
1976,East,Detroit Tigers,74,87,.460,24
1976,East,Milwaukee Brewers,66,95,.410,32
1976,West,Team [Click for roster],Wins,Losses,WP,GB
1976,West,Kansas City Royals,90,72,.556,0
1976,West,Oakland Athletics,87,74,.540,2½
1976,West,Minnesota Twins,85,77,.525,5
1976,West,Texas Rangers,76,86,.469,14
1976,West,California Angels,76,86,.469,14
1976,West,Chicago White Sox,64,97,.398,32½
1976,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1976,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1977,East,New York Yankees,100,62,.613,0
1977,East,Baltimore Orioles,97,64,.602,2½
1977,East,Boston Red Sox,97,64,.602,2½
1977,East,Detroit Tigers,74,88,.457,26
1977,East,Cleveland Indians,71,90,.441,28½
1977,East,Milwaukee Brewers,67,95,.414,33
1977,East,Toronto Blue Jays,54,107,.335,45½
1977,West,Team [Click for roster],Wins,Losses,WP,GB
1977,West,Kansas City Royals,102,60,.630,0
1977,West,Texas Rangers,94,68,.580,8
1977,West,Chicago White Sox,90,72,.556,12
1977,West,Minnesota Twins,84,77,.522,17½
1977,West,California Angels,74,88,.457,28
1977,West,Seattle Mariners,64,98,.395,38
1977,West,Oakland Athletics,63,98,.391,38½
1977,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1977,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1978,East,New York Yankees,100,63,.613,0
1978,East,Boston Red Sox,99,64,.607,1
1978,East,Milwaukee Brewers,93,69,.574,6½
1978,East,Baltimore Orioles,90,71,.559,9
1978,East,Detroit Tigers,86,76,.531,13½
1978,East,Cleveland Indians,69,90,.434,29
1978,East,Toronto Blue Jays,59,102,.366,40
1978,West,Team [Click for roster],Wins,Losses,WP,GB
1978,West,Kansas City Royals,92,70,.568,0
1978,West,Texas Rangers,87,75,.537,5
1978,West,California Angels,87,75,.537,5
1978,West,Minnesota Twins,73,89,.451,19
1978,West,Chicago White Sox,71,90,.441,20½
1978,West,Oakland Athletics,69,93,.426,23
1978,West,Seattle Mariners,56,104,.350,35
1978,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1978,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1979,East,Baltimore Orioles,102,57,.642,0
1979,East,Milwaukee Brewers,95,66,.590,8
1979,East,Boston Red Sox,91,69,.569,11½
1979,East,New York Yankees,89,71,.556,13½
1979,East,Detroit Tigers,85,76,",528",18
1979,East,Cleveland Indians,81,80,.503,22
1979,East,Toronto Blue Jays,53,109,.327,50½
1979,West,Team [Click for roster],Wins,Losses,WP,GB
1979,West,California Angels,88,74,.543,0
1979,West,Kansas City Royals,85,77,.525,3
1979,West,Texas Rangers,83,79,.512,5
1979,West,Minnesota Twins,82,80,.506,6
1979,West,Chicago White Sox,73,87,.456,14
1979,West,Seattle Mariners,67,95,.414,21
1979,West,Oakland Athletics,54,108,.333,34
1979,A.L.,Team [Click for roster],Wins,Losses,WP,GB
1979,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings
1980,East,New York Yankees,103,59,.636,0
1980,East,Baltimore Orioles,100,62,.617,3
1980,East,Milwaukee Brewers,86,76,.531,17
1980,East,Boston Red Sox,83,77,.519,19
1980,East,Detroit Tigers,84,78,.519,19
1980,East,Cleveland Indians,79,81,.494,23
1980,East,Toronto Blue Jays,67,95,.414,36
1980,West,Team [Click for roster],Wins,Losses,WP,GB
