Year,0,1,2
1975,Base on Balls,Texas,613
1975,Batting Average,Boston,.275
1975,Doubles,Boston,284
1975,Hits,Boston,1500
1975,Home Runs,Cleveland,153
1975,On Base Percentage,Boston,.347
1975,Runs,Boston,796
1975,Slugging Average,Boston,.417
1975,Stolen Bases,California,220
1975,Triples,Kansas City,58
1976,Base on Balls,Oakland,592
1976,Batting Average,Minnesota,.274
1976,Doubles,Kansas City,259
1976,Hits,Minnesota,1526
1976,Home Runs,Boston,134
1976,On Base Percentage,Minnesota,.343
1976,Runs,Minnesota,743
1976,Slugging Average,Boston,.402
1976,Stolen Bases,Oakland,341
1976,Triples,Kansas City,57
1977,Base on Balls,Texas,596
1977,Batting Average,Minnesota,.282
1977,Doubles,Kansas City,299
1977,Hits,Minnesota,1588
1977,Home Runs,Boston,213
1977,On Base Percentage,Minnesota,.351
1977,Runs,Minnesota,867
1977,Slugging Average,Boston,.465
1977,Stolen Bases,Oakland,176
1977,Triples,Kansas City,77
1978,Base on Balls,Texas,624
1978,Batting Average,Milwaukee,.276
1978,Doubles,Kansas City,305
1978,Hits,Milwaukee,1530
1978,Home Runs,Milwaukee,173
1978,On Base Percentage,Milwaukee,.342
1978,Runs,Milwaukee,804
1978,Slugging Average,Milwaukee,.432
1978,Stolen Bases,Kansas City,216
1978,Triples,Kansas City,59
1979,Base on Balls,Cleveland,657
1979,Batting Average,Boston,.283
1979,Doubles,Boston,310
1979,Hits,Kansas City,1596
1979,Home Runs,Boston,194
1979,On Base Percentage,California,.354
1979,Runs,California,866
1979,Slugging Average,Boston,.456
1979,Stolen Bases,Kansas City,207
1979,Triples,Kansas City,79
1980,Base on Balls,Detroit,645
1980,Batting Average,Kansas City,.286
1980,Doubles,Milwaukee,298
1980,Hits,Kansas City,1633
1980,Home Runs,Milwaukee,203
1980,On Base Percentage,Cleveland,.355
1980,Runs,Detroit,830
1980,Slugging Average,Milwaukee,.448
1980,Stolen Bases,Kansas City,185
1980,Triples,Kansas City,59
1981,Base on Balls,Baltimore,404
1981,Base on Balls,Detroit,404
1981,Batting Average,Boston,.275
1981,Doubles,Texas,178
1981,Hits,Boston,1052
1981,Home Runs,Oakland,104
1981,On Base Percentage,Boston,.343
1981,Runs,Boston,519
1981,Slugging Average,Boston,.399
1981,Stolen Bases,Cleveland,119
1981,Triples,Minnesota,36
1982,Base on Balls,Cleveland,651
1982,Batting Average,Kansas City,.285
1982,Doubles,Kansas City,295
1982,Hits,Kansas City,1603
1982,Home Runs,Milwaukee,216
1982,On Base Percentage,California,.350
1982,Runs,Milwaukee,891
1982,Slugging Average,Milwaukee,.455
1982,Stolen Bases,Oakland,232
1982,Triples,Kansas City,58
1983,Base on Balls,Cleveland,605
1983,Batting Average,Toronto,.277
1983,Doubles,Boston,287
1983,Hits,Milwaukee,1556
1983,Home Runs,Baltimore,168
1983,On Base Percentage,Baltimore,.343
1983,Runs,Chicago,800
1983,Slugging Average,Toronto,.436
1983,Stolen Bases,Oakland,235
1983,Triples,Toronto,58
1984,Base on Balls,Baltimore,620
1984,Batting Average,Boston,.283
1984,Doubles,Toronto,275
1984,Doubles,New York,275
1984,Hits,Boston,1598
1984,Home Runs,Detroit,187
1984,On Base Percentage,Detroit,.345
1984,Runs,Detroit,829
1984,Slugging Average,Boston,.441
1984,Stolen Bases,Toronto,193
1984,Triples,Toronto,68
1985,Base on Balls,California,648
1985,Batting Average,Boston,.282
1985,Doubles,Boston,292
1985,Hits,Boston,1615
1985,Home Runs,Baltimore,214
1985,On Base Percentage,Boston,.350
1985,Runs,New York,839
1985,Slugging Average,Baltimore,.430
1985,Stolen Bases,New York,155
1985,Triples,Toronto,53
1986,Base on Balls,California,671
1986,Batting Average,Cleveland,.284
1986,Doubles,Boston,320
1986,Hits,Cleveland,1620
1986,Home Runs,Detroit,198
1986,On Base Percentage,New York,.350
1986,Runs,Cleveland,831
1986,Slugging Average,New York,.430
