Year,URL,Type of League
1901,https://www.baseball-almanac.com/yearly/yr1901a.shtml,American League
1902,https://www.baseball-almanac.com/yearly/yr1902a.shtml,American League
1903,https://www.baseball-almanac.com/yearly/yr1903a.shtml,American League
1904,https://www.baseball-almanac.com/yearly/yr1904a.shtml,American League
1905,https://www.baseball-almanac.com/yearly/yr1905a.shtml,American League
1906,https://www.baseball-almanac.com/yearly/yr1906a.shtml,American League
1907,https://www.baseball-almanac.com/yearly/yr1907a.shtml,American League
1908,https://www.baseball-almanac.com/yearly/yr1908a.shtml,American League
1909,https://www.baseball-almanac.com/yearly/yr1909a.shtml,American League
1910,https://www.baseball-almanac.com/yearly/yr1910a.shtml,American League
1911,https://www.baseball-almanac.com/yearly/yr1911a.shtml,American League
1912,https://www.baseball-almanac.com/yearly/yr1912a.shtml,American League
1913,https://www.baseball-almanac.com/yearly/yr1913a.shtml,American League
1914,https://www.baseball-almanac.com/yearly/yr1914a.shtml,American League
1915,https://www.baseball-almanac.com/yearly/yr1915a.shtml,American League
1916,https://www.baseball-almanac.com/yearly/yr1916a.shtml,American League
1917,https://www.baseball-almanac.com/yearly/yr1917a.shtml,American League
1918,https://www.baseball-almanac.com/yearly/yr1918a.shtml,American League
1919,https://www.baseball-almanac.com/yearly/yr1919a.shtml,American League
1920,https://www.baseball-almanac.com/yearly/yr1920a.shtml,American League
1921,https://www.baseball-almanac.com/yearly/yr1921a.shtml,American League
1922,https://www.baseball-almanac.com/yearly/yr1922a.shtml,American League
1923,https://www.baseball-almanac.com/yearly/yr1923a.shtml,American League
1924,https://www.baseball-almanac.com/yearly/yr1924a.shtml,American League
1925,https://www.baseball-almanac.com/yearly/yr1925a.shtml,American League
1926,https://www.baseball-almanac.com/yearly/yr1926a.shtml,American League
1927,https://www.baseball-almanac.com/yearly/yr1927a.shtml,American League
1928,https://www.baseball-almanac.com/yearly/yr1928a.shtml,American League
1929,https://www.baseball-almanac.com/yearly/yr1929a.shtml,American League
1930,https://www.baseball-almanac.com/yearly/yr1930a.shtml,American League
1931,https://www.baseball-almanac.com/yearly/yr1931a.shtml,American League
1932,https://www.baseball-almanac.com/yearly/yr1932a.shtml,American League
1933,https://www.baseball-almanac.com/yearly/yr1933a.shtml,American League
1934,https://www.baseball-almanac.com/yearly/yr1934a.shtml,American League
1935,https://www.baseball-almanac.com/yearly/yr1935a.shtml,American League
1936,https://www.baseball-almanac.com/yearly/yr1936a.shtml,American League
1937,https://www.baseball-almanac.com/yearly/yr1937a.shtml,American League
1938,https://www.baseball-almanac.com/yearly/yr1938a.shtml,American League
1939,https://www.baseball-almanac.com/yearly/yr1939a.shtml,American League
1940,https://www.baseball-almanac.com/yearly/yr1940a.shtml,American League
1941,https://www.baseball-almanac.com/yearly/yr1941a.shtml,American League
1942,https://www.baseball-almanac.com/yearly/yr1942a.shtml,American League
1943,https://www.baseball-almanac.com/yearly/yr1943a.shtml,American League
